Engines,CC/Battery Capacity,Total Speed
2.9L VR6,2861 cc,235 km/h
I4 Petrol,1999 cc (I4),250 km/h
I4,"1,996 cc",200 km/h
3.0L Inline-4 Diesel,2999 cc,130 km/h
1.6L Inline-4,1598 cc,180 km/h
"2.0L,INLINE-4","1,987 cc",190 km/h
EcoBlue Turbo Diesel,"2,000 cc",160 km/h
1.4L CR4 Diesel,1396 cc,155 km/h
5.1L I4 Turbo Diesel,5100 cc,80 km/h
2.0L Turbo I4,1984 cc,215 km/h
2.0L SkyActiv-G,"2,000 cc",200 km/h
2.9L Twin-Turbo V6,2894 cc,265 km/h
2.4L Diesel Turbo,"2,400 cc",180 km/h
I4 Turbocharged,"1,500 cc (I4)",210 km/h
1.3L Rotary,"1,300 cc",170 km/h
"1.6L,TURBOCHARGED INLINE-3","1,618 cc",230 km/h
Hybrid I4 + Electric Motor,"1,598 cc (petrol) + Electric Motor",210 km/h
3.8L Twin-Turbo Flat-6,3745 cc,330 km/h
V12,"6,592 cc",250 km/h
I4,"1,991 cc",250 km/h
1.6L 4-Cylinder Hybrid,1591 cc,180 km/h
V8,"3,996 cc",362 km/h
12.8L I6 Turbo Diesel,12800 cc,110 km/h
2.6L Twin-Turbo Inline-6,2568 cc,250 km/h
1.5L Turbo Inline-3,1497 cc,180 km/h
3.3L Turbocharged V6,3300 cc,270 km/h
Dual Electric Motors,79.2 kWh,230 km/h
6.6L V8 engine,"6,600 cc",170 km/h
V12,"6,592 cc",250 km/h
V6,"2,996 cc",250 km/h
3.0L Twin-Turbo Flat-6,2981 cc,240 km/h
V8,"3,982 cc",250 km/h
2.8L Inline-6 Diesel,2825 cc,160 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
2.0L Inline-4,1998 cc,180 km/h
V6,"3,500 cc (V6)",250 km/h
I4 Petrol,1999 cc (I4),250 km/h
5.6L V8,5552 cc,210 km/h
I4 Hybrid,"2,500 cc (petrol) + Electric Motor",180 km/h
Inline-4,"1,499 cc",200 km/h
I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 km/h
I6,"2,993 cc",285 km/h
4.0L Twin-Turbo V8 + Electric Motor,3996 cc,295 km/h
5.3L V8 Gasoline,5300 cc,190 km/h
V8,"3,998 cc",305 km/h
2.0L Turbo I4,1984 cc,205 km/h
2.0L MIVEC,"2,000 cc",190 km/h
"2.5L,INLINE-4,HYBRID,OR 3.5L,V6","HYBRID(2,494 cc),V6(3,456 cc)",180 km/h
"1.4L,4-CYLINDER,INLINE-4(I4)","1,396 cc",180 km/h
I4,"1,998 cc",250 km/h
2.5L Turbocharged,"2,500 cc",210 km/h
2.0L I4 Turbo,1984 cc,237 km/h
V12,"6,749 cc",250 km/h
V8 Petrol,5000 cc (V8),280 km/h
1.6L PETROL + PLUG IN HYBRID SYSTEM,"1,600 cc",180 km/h
3.0L Inline-6,"3,000 cc",210 km/h
V8,"3,900 cc",340 km/h
Dual Electric Motors,87 kWh,200 km/h
I4 Petrol,1999 cc (I4),230 km/h
1.5L Turbocharged Inline-3,1498 cc,200 km/h
2.0L Inline-4,"2,000 cc",180 km/h
I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 km/h
1.5L Inline-4,1498 cc,165 km/h
2.0L MIVEC,"2,000 cc",200 km/h
I6,"2,998 cc",250 km/h
5.6L V8,5552 cc,180 km/h
3.0L V6,"3,000 cc",220 km/h
3.0L V6 Turbo,2995 cc,245 km/h
I4,"2,480 cc",200 km/h
2.0L Inline-4,"2,000 cc",160 km/h
2.0L Turbo Inline-4 Gasoline,2000 cc,240 km/h
2.3L EcoBoost / 2.7L V6,"2,300 - 2,700 cc",200 km/h
2.6L Wankel Rotary Engine,"2,620 cc",320 km/h
V8,"3,996 cc",318 km/h
2.9L Twin-Turbo V6,2894 cc,265 km/h
2.4L Diesel Turbo,"2,400 cc",177 km/h
1.5L I4 CNG,1498 cc,220 km/h
Electric,~50 kWh (Estimate),160 km/h
Electric Motor,-,130 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,210 km/h
3.8L V6,"3,800 cc",240 km/h
1.8L Inline-4,"1,800 cc",160 km/h
I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 km/h
6.2L V8 engine,"6,162 cc",210 km/h
3.8L Twin-Turbo Flat-6,3745 cc,330 km/h
2.5L V6,"2,500 cc",210 km/h
4.0L V6,3954 cc,160 km/h
2.5L V6,"2,500 cc",215 km/h
2.0L Turbo PHEV,17.3 kWh,210 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
3.0L V6,"3,000 cc",220 km/h
1.6L Turbo Inline-4,1598 cc,200 km/h
4.0L V8 Twin Turbo,3996 cc,315 km/h
Inline-4,"1,997 cc",160 km/h
"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",160 km/h
V8 Gasoline Engine,"7,300 cc",140 km/h
V6,"3,956 cc",200 km/h
V8,"3,982 cc",250 km/h
V8,"4,395 cc",250 km/h
1.3L Turbo PHEV,11.4 kWh,200 km/h
V6 Hybrid + Electric Motor,"3,000 cc (petrol) + Electric Motor",225 km/h
3.0L Twin-Turbo Flat-6,2981 cc,304 km/h
I4,"1,984 cc",240 km/h
1.6L Inline-4,"1,598 cc",170 km/h
1.5L Inline-4,1498 cc,175 km/h
6.2L Supercharged V8 Gasoline,6200 cc,200 km/h
2.0L Turbo Inline-4,1998 cc,225 km/h
I4 Petrol,1998 cc (I4),215 km/h
3.5L V6,3498 cc,200 km/h
6.2L Supercharged V8 Gasoline,6200 cc,320 km/h
Electric,77 kWh,145 km/h
3.5L V6,3498 cc,220 km/h
V8,3990 cc,340 km/h
1.2L Diesel I3,1199 cc,165 km/h
2.0L Inline-4,"2,000 cc",190 km/h
1.0L Turbo Inline-4,987 cc,170 km/h
Diesel I4,"1,560 cc",160 km/h
2.5L Inline-4,"2,500 cc",200 km/h
I3,"1,496 cc",185 km/h
2.0L VC-Turbo Inline-4,1997 cc,230 km/h
V8,"3,993 cc",305 km/h
Tri Electric Motors,100 kWh,322 km/h
2.9L V6 Twin Turbo,2894 cc,289 km/h
I4,"1,991 cc",250 km/h
1.8L Inline-4,"1,800 cc",185 km/h
I4,"2,480 cc",200 km/h
Electric Motor,50 kWh,150 km/h
5.6L V8,5552 cc,210 km/h
ELECTRIC MOTOR,72.6 KWH,185 km/h
V12,"6,749 cc",250 km/h
I4,"1,984 cc",250 km/h
Plug-in Hybrid / Diesel I4,1395 cc / 1968 cc,190 km/h
1.2L Turbo Inline-3 Gasoline,1200 cc,200 km/h
2.0L I4 Turbo,1984 cc,240 km/h
1.3L Inline-2 (Wankel),"1,308 cc",230 km/h
2.0L Turbo Inline-4,1998 cc,240 km/h
1.3L Inline-2 (Wankel),"1,308 cc",250 km/h
Inline-4,"2,400 cc",210 km/h
2.4L Inline-6,2393 cc,210 km/h
2.0L I4 Turbo,1984 cc,250 km/h
Hybrid I4,"1,598 cc (petrol) + Electric Motor",250 km/h
I3,"1,499 cc",213 km/h
I4,"2,488 cc",200 km/h
4.1L V8,4130 cc,210 km/h
I4,"2,480 cc",200 km/h
2.2L Dicor Diesel,2179 cc,162 km/h
4.3L V6 engine,"4,300 cc",180 km/h
I3,"1,499 cc",213 km/h
6.2L V8 Gasoline,6200 cc,290 km/h
I3,"1,499 cc",213 km/h
3.0L V6 Turbo,2960 cc,220 km/h
V6 Hybrid,"3,500 cc",190 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
4.5L V8,4494 cc,250 km/h
V12,"6,749 cc",250 km/h
3.5L V6 / 2.0L EcoBoost,"2,000 - 3,500 cc",220 km/h
Dual Electric Motors,95 kWh,240 km/h
"3.5L,V6,HYBRID TWIN-TURBO","3,445 cc",180 km/h
I4,"1,496 cc",180 km/h
Inline-4,"1,598 cc",250 km/h
V6,"2,995 cc",250 km/h
3.8L V6,3778 cc,240 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
3.2L Turbo Diesel,"3,200 cc",180 km/h
I4,"1,998 cc",210 km/h
V12,"5,204 cc",320 km/h
V12,"6,749 cc",250 km/h
Inline-4,"1,499 cc",210 km/h
4.0L Naturally Aspirated Flat-6,3996 cc,315 km/h
3.6L V6 Pentastar Gasoline,3600 cc,209 km/h
2.3L Turbo Inline-4 / 2.7L V6,"2,300 - 2,700 cc",180 km/h
3.0L Inline-4,"3,000 cc",120 km/h
2.0L Turbo Inline-4,1998 cc,240 km/h
3.7L V6,3696 cc,250 km/h
V6,"2,998 cc",290 km/h
1.6L 4-Cylinder Hybrid,1591 cc,180 km/h
Single Electric Motor,100 kWh,190 km/h
1.6L 4-Cylinder,1591 cc,180 km/h
7.5L Diesel,"7,500 cc",120 km/h
Electric,77 kWh,145 km/h
3.5L V6,3500 cc,220 km/h
2.5L 4-Cylinder,"2,500 cc",190 km/h
5.6L V8,5552 cc,210 km/h
1.5L Inline-4 Diesel,1461 cc,140 km/h
Electric Motor,1.56 kwh,180 km/h
5.3L V8 engine,"5,327 cc",210 km/h
Inline-4,"1,199 cc",190 km/h
5.6L V8,5552 cc,200 km/h
1.8L Inline-4,1798 cc,175 km/h
6.2L V8 Gasoline,6200 cc,200 km/h
I6,"1,969 cc",250 km/h
BOXER-4,"1,998 cc",226 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
Hybrid I4 + Electric Motor,"1,598 cc (petrol) + Electric Motor",210 km/h
3.0L Turbo Diesel V6,2967 cc,221 km/h
V12,"6,498 cc",350 km/h
2.0L Turbo I4,1984 cc,210 km/h
3.0L V6,"3,000 cc",190 km/h
Electric,32.3 kWh,160 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,200 km/h
2.0L I4 Turbo,1984 cc,250 km/h
I4 Petrol,1999 cc (I4),230 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,220 km/h
8.0L Quad-Turbo W16,7993 cc,500 km/h
3.0L Diesel,"3,000 cc",120 km/h
"Electric motors with up to 11,500 lb-ft torque",200 kWh,170 km/h
2.0L I4 Turbo,1984 cc,232 km/h
V8 Petrol,5000 cc (V8),320 km/h
6.4L V8 HEMI Gasoline,6400 cc,160 km/h
I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 km/h
1.4L Inline-4,1397 cc,145 km/h
1.2L Inline-3 Hybrid,1198 cc,170 km/h
1.3L Turbo I4 Gasoline,1300 cc,200 km/h
I4 Turbocharged,"1,500 cc (I4)",210 km/h
Hybrid I4,"1,598 cc (petrol) + Electric Motor",250 km/h
1.4L I4 Turbo + Electric Motor,1395 cc + Battery,200 km/h
2.0L Inline-4 Hybrid,1997 cc,180 km/h
V12,"6,749 cc",250 km/h
2.0L SkyActiv-G,"2,000 cc",225 km/h
V8 Petrol,5000 cc (V8),300 km/h
2.3L Inline-4 Diesel,2298 cc,150 km/h
2.0L 4-Cylinder,1999 cc,190 km/h
4.0L Naturally Aspirated Flat-6,3996 cc,296 km/h
V12,"6,592 cc",250 km/h
3.7L V6,3696 cc,250 km/h
2.0L Turbo Inline-4 Gasoline,2000 cc,240 km/h
Dual Electric Motors,93.4 kWh,250 km/h
V6,"2,996 cc",250 km/h
3.0L V6,"3,000 cc",185 km/h
3.0L Twin-Turbo V6,2960 cc,250 km/h
I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),230 km/h
I4 Petrol,1999 cc (I4),250 km/h
Electric (Dual Motor),90 kWh (Battery),200 km/h
V8,"3,900 cc",320 km/h
1.0L Turbocharged Inline-3,999 cc,180 km/h
2.7L Turbo 4-cylinder,2700 cc,190 km/h
4.0L Naturally Aspirated Flat-6,3996 cc,318 km/h
V12,"6,498 cc",350 km/h
I3,"1,496 cc",200 km/h
3.8L Twin-Turbo V6,3799 cc,315 km/h
4.0L Twin-Turbo V8 + Electric Motor,3996 cc,315 km/h
3.3L V6,"3,300 cc",240 km/h
8.0L Quad-Turbo W16,7993 cc,420 km/h
4.8L Inline-6,4750 cc,190 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
2.0L I4 Turbo,1984 cc,232 km/h
Electric Motor,35.5 kWh battery,140 km/h
2.0L Turbo Gasoline,2000 cc,200 km/h
2.0L Turbo Inline-4 Gasoline,2000 cc,220 km/h
2.4L 4-Cylinder,"2,400 cc",190 km/h
1.6L Inline-4,"1,600 cc",170 km/h
660cc Inline-3,660 cc,130 km/h
Inline-4,"1,499 cc",225 km/h
2.5L Inline-4,"2,500 cc",180 km/h
Electric,77 kWh,180 km/h
V8,"3,900 cc",320 km/h
V8 Petrol,5000 cc (V8),300 km/h
1.0L I3 Turbo,999 cc,160 km/h
Dual Electric Motors,93.4 kWh,260 km/h
2.4L Hybrid,"2,400 cc / 20 kWh battery",170 km/h
6.2L V8 engine,"6,162 cc",210 km/h
"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",160 km/h
I4,"2,480 cc",200 km/h
V8,"4,395 cc",305 km/h
6.2L V8 Gasoline,6200 cc,200 km/h
2.8L Inline-6,2753 cc,205 km/h
V6,"3,799 cc",315 km/h
2.0L I4 Turbo,1984 cc,250 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
Inline-4,"2,200 cc",140 km/h
2.5L SkyActiv-G,"2,500 cc",210 km/h
3.0L Twin-Turbo Flat-6,2981 cc,311 km/h
5.0L V8,"5,000 cc",250 km/h
1.0L I3 Turbo / 1.5L I4 Turbo,999 cc / 1498 cc,200 km/h
3.8L Twin-Turbo V6,3799 cc,330 km/h
3.6L V6 engine,"3,564 cc",210 km/h
HYBRID,"2,494 cc",200 km/h
V6,"3,456 cc",220 km/h
V8 Petrol,5000 cc (V8),290 km/h
Twin-Turbo V6 Hybrid,"3,493 cc",300 km/h
I4,"1,991 cc",250 km/h
Hybrid I4 + Electric Motor,"1,599 cc (petrol) + Electric Motor",250 km/h
V12,"6,749 cc",250 km/h
V6 Petrol,2995 cc (V6),250 km/h
2.0L Turbo I4,1984 cc,200 km/h
3.6L Twin-Turbo V6 Gasoline,3600 cc,290 km/h
V6,"2,996 cc",250 km/h
5.6L V8,5552 cc,210 km/h
1.6L 4-Cylinder,1591 cc,180 km/h
I4,"1,995 cc",230 km/h
V12,"6,592 cc",250 km/h
3.2L Diesel Turbo,"3,200 cc",180 km/h
4.0L Twin-Turbo V8,3996 cc,306 km/h
3.8L Twin-Turbo V6,3799 cc,330 km/h
1.4L Inline-4 Gasoline,1400 cc,180 km/h
I4,"2,480 cc",200 km/h
1.5L Turbo I4 / Electric,1498 cc / 40 - 58 kWh,210 km/h
"HYDROGEN FUEL CELL,ELECTRIC MOTOR",1.24 kwh,180 km/h
2.0L Inline-4,1998 cc,190 km/h
2.5L Inline-4,"2,500 cc",160 km/h
Dual Electric Motors,79.2 kWh,250 km/h
V12,"6,749 cc",250 km/h
1.2L MPFI Petrol,1193 cc,140 km/h
1.2L MIVEC,"1,200 cc",170 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
4.2L Inline-6,4169 cc,160 km/h
1.2L Revotron Bi-Fuel,1199 cc,165 km/h
6.2L V8 engine,"6,162 cc",200 km/h
Electric Motor,Battery (98 kWh),180 km/h
8.0L Quad-Turbo W16,7993 cc,350 km/h
V8,"3,993 cc",305 km/h
3.6L V6 engine,"3,564 cc",180 km/h
V12,"6,749 cc",250 km/h
3.0L Twin-Turbo V6,2960 cc,250 km/h
2.7L Turbo Inline-4 Gasoline,2700 cc,190 km/h
6.2L V8 / 7.3L V8 / 6.7L Turbo-Diesel,"6,200 - 7,300 cc",180 km/h
V8,"3,996 cc",305 km/h
Dual Electric Motors,93.4 kWh,240 km/h
5.3L V8 engine,"5,327 cc",180 km/h
Inline-4,"1,499 cc",190 km/h
2.2L Dicor Diesel,2179 cc,140 km/h
Electric (Dual Motor),90 kWh (Battery),200 km/h
Inline-4,"2,400 cc",200 km/h
V8,"4,395 cc",305 km/h
624cc MPFI,624 cc,105 km/h
2.0L I4 Turbo,1984 cc,205 km/h
3.3L V6,"3,300 cc",240 km/h
3.0L CR4 Diesel,2956 cc,125 km/h
"Electric motors with up to 11,500 lb-ft torque",200 kWh,170 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,210 km/h
V12,"6,498 cc",350 km/h
2.0L Diesel I4,1968 cc,220 km/h
1.5L Turbo 4-cylinder,1500 cc,190 km/h
I4,"2,480 cc",200 km/h
I6,"2,993 cc",280 km/h
V10,"5,204 cc",320 km/h
3.0L Twin-Turbo Flat-6,2981 cc,289 km/h
4.0L Naturally Aspirated Flat-6,3995 cc,293 km/h
V10,"5,204 cc",325 km/h
2.0L Inline-4,"2,000 cc",220 km/h
1.8L MIVEC,"1,800 cc",185 km/h
5.6L V8,5552 cc,210 km/h
Inline-4,"1,598 cc",210 km/h
3.6L V6 engine,"3,564 cc",210 km/h
