Engines,CC/Battery Capacity,Total Speed
I4 + ELECTRIC,"1,598 cc / 13.8 kwh",180 km/h
2.9L V6 Twin Turbo,2894 cc,272 km/h
4.5L V8,4494 cc,210 km/h
Inline-4,"1,199 cc",200 km/h
Inline-4,"1,598 cc",210 km/h
1.6L 4-Cylinder Hybrid,1591 cc,180 km/h
1.2L Petrol,"1,200 cc",165 km/h
1.8L Inline-4,1770 cc,155 km/h
1.3L Rotary Twin-Turbo,"1,300 cc",250 km/h
2.0L Turbo I4,1984 cc,205 km/h
EcoBlue Turbo Diesel,"2,000 cc",160 km/h
6.2L V8 engine,"6,162 cc",200 km/h
Inline-4,"1,998 cc",200 km/h
"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",180 km/h
V6,"3,498 cc",240 km/h
3.0L V6 Turbo Diesel,2967 cc,180 km/h
2.6L Inline-4,"2,600 cc",160 km/h
1.8L Inline-4,1798 cc,175 km/h
1.3L Inline-4,"1,298 cc",145 km/h
2.0L I4 Turbo,1984 cc,250 km/h
"1.2L,4-CYLINDER,INLINE-4(I4)","1,197 cc",160 km/h
V8,"3,996 cc",291 km/h
3.6L V6 Pentastar Gasoline,3600 cc,180 km/h
6.6L V8 Diesel,6600 cc,160 km/h
0.36L Inline-2,360 cc,85 km/h
3.0L V6 Turbo Diesel / Gasoline,2967 cc,235 km/h
5.6L V8,5552 cc,200 km/h
8.0L Quad-Turbo W16,7993 cc,490 km/h
3.5L Twin-Turbo V6,"3,500 cc",200 km/h
2.0L Inline-4,"2,000 cc",170 km/h
3.2L V6 Pentastar Gasoline,3200 cc,195 km/h
V12,"6,496 cc",402 km/h
Permanent Magnet Synchronous,26 kWh,120 km/h
Turbocharged V6,"3,500 cc",210 km/h
I4,"1,998 cc",210 km/h
3.8L V6,"3,800 cc",190 km/h
2.0L Gas / 2.0L Hybrid,1987 cc / Hybrid batt,190 km/h
Inline-4,"1,499 cc",200 km/h
1.2L Hybrid,1198 cc,160 km/h
V8 Petrol,5000 cc (V8),300 km/h
Inline-4,"1,598 cc",210 km/h
0.66L Inline-3,657 cc,120 km/h
1.5L Inline-4,"1,500 cc",170 km/h
3.6L V6 engine,"3,564 cc",180 km/h
4.0L Twin-Turbo V8,3996 cc,300 km/h
I4,"1,995 cc",240 km/h
2.0L Turbo PHEV,17.3 kWh,180 km/h
Inline-4,"2,400 cc",200 km/h
Rotary SkyActiv-R,,300 km/h (est.)
I3,"1,496 cc",200 km/h
1.6L 4-Cylinder,1591 cc,180 km/h
1.5L Turbo Inline-4 Gasoline,1500 cc,210 km/h
3.3L V6 + Electric,"3,300 cc",180 km/h
Electric Motor,77.4 kWh,230 km/h
12.8L I6 Turbo Diesel,12800 cc,110 km/h
I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 km/h
1.8L / 2.0L Hybrid,1798 / 1987 cc + batt,180 km/h
I3,"1,496 cc",200 km/h
2.5L 4-Cylinder,"2,500 cc",190 km/h
Electric Motor,Battery (68-98 kWh),180 km/h
1.6L Inline-4,1597 cc,185 km/h
V12,"6,592 cc",250 km/h
"2.2L,4-CYLINDER,INLINE-4(I4)","2,179 cc",160 km/h
2.0L MIVEC,"2,000 cc",190 km/h
2.5L Hybrid Turbocharged 4-Cylinder,1591 cc,200 km/h
V8,"4,935 cc",285 km/h
2.0L Inline-4,1998 cc,200 km/h
5.6L V8,5552 cc,210 km/h
Inline-4,"1,199 cc",190 km/h
4.2L Naturally Aspirated Flat-6,4194 cc,296 km/h
2.9L Twin-Turbo V6,2894 cc,272 km/h
Electric Motor,16 kWh battery,130 km/h
I4 Petrol / V6 Petrol,1999 cc (I4) / 2995 cc (V6),250 km/h
3.6L V6 Pentastar Gasoline,3600 cc,209 km/h
V12,"6,592 cc",250 km/h
V8,"3,996 cc",305 km/h
I4,"1,998 cc",250 km/h
Dual Electric Motors,87 kWh,200 km/h
1.8L Inline-4,"1,798 cc",200 km/h
V6,"3,456 cc",220 km/h
1.5L SkyActiv-G,"1,500 cc",180 km/h
Permanent Magnet Synchronous,24 kWh,120 km/h
3.2L Diesel Turbo,"3,200 cc",180 km/h
"1.6L,TURBOCHARGED INLINE-3","1,618 cc",230 km/h
V12,"6,498 cc",356 km/h
1.5L EcoBoost / 2.0L Hybrid,"1,500 - 2,000 cc",220 km/h
I4,"1,598 cc",195 km/h
V8,"3,996 cc",313 km/h
2.3L Inline-4 Diesel,2298 cc,180 km/h
2.0L Kryotec Turbocharged Diesel,1956 cc,180 km/h
1.6L PETROL ,"1,591 cc",185 km/h
2.0L Turbo Diesel I4,1968 cc,210 km/h
12.8L I6 Turbo Diesel,12800 cc,100 km/h
V6 EcoBoost,"2,700 cc",200 km/h
8.0L Quad-Turbo W16,7993 cc,420 km/h
1.5L Inline-4,"1,500 cc",175 km/h
4.0L Naturally Aspirated Flat-6,3996 cc,315 km/h
2.0L Diesel I4,1968 cc,230 km/h
Inline-4 Gasoline Engine,"2,000 cc",175 km/h
Electric Motor,39.2 kwh,200 km/h
I4,"1,998 cc",250 km/h
2.0L Turbo Inline-4,1998 cc,240 km/h
1.3L Quadrajet Diesel / 1.2L Revotron Petrol,1248 cc / 1199 cc,165 km/h
1.3L Wankel + Electric,"1,308 cc",180 km/h
1.2L Rotary,"1,200 cc",180 km/h
3.0L Twin-Turbo Flat-6,2981 cc,293 km/h
I4 Petrol,1999 cc (I4),240 km/h
1.5L Turbo Hybrid,1497 cc,190 km/h
1.6L MIVEC,"1,600 cc",190 km/h
I6,"2,993 cc",290 km/h
3.7L V6,3696 cc,250 km/h
Inline-4 Turbocharged,"1,500 cc",210 km/h
2.3L Turbocharged,"2,300 cc",210 km/h
Dual Electric Motors,100 kWh,250 km/h
2.7L Inline-4 Diesel,2664 cc,160 km/h
I4,"2,480 cc",200 km/h
3.0L Twin-Turbo Flat-6,2981 cc,293 km/h
I4,"1,998 cc",250 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
Inline-4,"1,199 cc",205 km/h
V6,"3,471 cc",209 km/h
8.0L Quad-Turbo W16,7993 cc,420 km/h
3.0L V6 Turbo Diesel / 4.0L V8,2967 cc / 3956 cc,235 km/h
2.0L Turbo Diesel I4,1968 cc,220 km/h
1.2L MIVEC,"1,200 cc",170 km/h
5.6L V8,5552 cc,210 km/h
V10,"5,204 cc",330 km/h
I4,"2,494 cc",200 km/h
3.8L V6,3778 cc,240 km/h
"3.5L,V6,PLUG IN HYBRID","3,456 cc",200 km/h
2.0L Inline-4,"2,000 cc",190 km/h
1.3L Turbocharged Inline-4,1332 cc,195 km/h
Electric Motor,77.4 kWh,260 km/h
I4,"1,986 cc",200 km/h
1.4L CR4 Diesel,1396 cc,155 km/h
V12,6749 cc,250 km/h
V12,"6,749 cc",250 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
Inline-4 Hybrid,"1,500 cc",210 km/h
2.4L Turbo I4 (i-FORCE MAX Hybrid),2393 cc + Battery,180 km/h
2.4L Inline-4,2438 cc,180 km/h
Dual Electric Motors (AWD),100 kWh,250 km/h
2.0L MIVEC,"2,000 cc",200 km/h
1.2L I4 Gas,1192 cc,138 km/h
1.2L Turbo Petrol / 1.5L Diesel,1199 cc / 1497 cc,180 km/h
1.5L Turbo Inline-4 Gasoline,1500 cc,200 km/h
Inline-4,"1,998 cc",235 km/h
3.0L Twin-Turbo Flat-6,2981 cc,240 km/h
1.2L Turbocharged Petrol,1199 cc,180 km/h
2.0L Inline-4,"1,998 cc",200 km/h
2.0L Inline-4,"1,998 cc",130 km/h
"Electric motors with up to 11,500 lb-ft torque",200 kWh,170 km/h
1.4L CR4 Diesel,1396 cc,150 km/h
Inline-4,"1,199 cc",180 km/h
4.0L Naturally Aspirated Flat-6,3996 cc,296 km/h
1.3L Turbo PHEV,11.4 kWh,200 km/h
2.9L Twin-Turbo V6 + Electric Motor,2894 cc,295 km/h
1.8L Inline-4,1839 cc,200 km/h
Electric Motor,89 kWh (Electric),140 km/h
2.9L V6 Twin Turbo,2894 cc,265 km/h
4.3L V6 Gasoline,4300 cc,180 km/h
2.5L Hybrid / Plug-in Hybrid,2487 cc + batt,200 km/h
1.6L Inline-4,1597 cc,170 km/h
V6,"2,996 cc",250 km/h
1.5L EcoBoost / 2.5L Hybrid,"1,500 - 2,500 cc",190 km/h
Dual Electric Motors,93.4 kWh,220 km/h
4.3L V6 Gasoline,4300 cc,180 km/h
2.0L 4-Cylinder,1999 cc,190 km/h
16.1L I6 Turbo Diesel,16100 cc,120 km/h
1.5L Turbo Inline-3,"1,500 cc",230 km/h
V8,"5,663 cc",220 km/h
1.8L Inline-4,1798 cc,190 km/h
3.6L V6 engine,"3,564 cc",210 km/h
2.0L 4-Cylinder,1999 cc,190 km/h
1.5L Inline-4 Diesel,1461 cc,168 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
2.0L 4-Cylinder,"2,000 cc",180 km/h
6.7L Turbo-Diesel / 7.3L V8,"6,700 - 7,300 cc",180 km/h
6.2L V8 Gasoline,6200 cc,210 km/h
3.0L Twin-Turbo Flat-6,2981 cc,307 km/h
V6,"3,500 cc",250 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
1.5L 4-Cylinder,"1,500 cc",180 km/h
V12,"5,980 cc",250 km/h
6.6L V8 engine,"6,600 cc",170 km/h
1.6L Inline-4,1598 cc,190 km/h
2.5L Inline-4 Diesel,2498 cc,140 km/h
1.5L Turbo,"1,500 cc",180 km/h
EcoBlue Turbo Diesel,"2,000 cc",160 km/h
V6 Petrol,2995 cc (V6),280 km/h
2.7L Turbo 4-cylinder,2700 cc,190 km/h
I4,"1,798 cc",180 km/h
V6,"2,995 cc",250 km/h
Naturally Aspirated V8,"5,200 cc",280 km/h
V12,"5,935 cc",314 km/h
1.0L EcoBoost / 1.5L / 2.0L,"1,000 - 2,000 cc",220 km/h
"1.5L,4-CYLINDER,INLINE(I4)","1,462 cc",180 km/h
2.0L I4 Turbo,1984 cc,250 km/h
2.0L Turbo I4,1984 cc,180 km/h
Dual Electric Motors,87 kWh,200 km/h
1.0L Turbocharged Inline-3,999 cc,185 km/h
3.0L Turbocharged V6,2995 cc,245 km/h
2.0L MIVEC,"2,000 cc",190 km/h
6.2L V8 Gasoline,6200 cc,205 km/h
2.4L Inline-6,2393 cc,210 km/h
V12,"6,498 cc",355 km/h
V8,"3,900 cc",340 km/h
I4 Hybrid,"2,500 cc (petrol) + Electric Motor",190 km/h
3.0L Twin-Turbo V6,2997 cc,250 km/h
2.0L Diesel I4,1968 cc,220 km/h
I4,"2,480 cc",200 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
ELECTRIC,"64.8 kwh (Base Model),72.8 kwh (Higher End Model",200 km/h
6.2L V8 engine,"6,162 cc",200 km/h
2.0L Turbocharged,"2,000 cc",240 km/h
1.6L Hybrid Turbocharged 4-Cylinder,1591 cc,200 km/h
1.8L I4 Gas,1781 cc,165 km/h
1.3L Turbo Inline-3 Gasoline,1300 cc,200 km/h
1.0L Turbo I3,999 cc,196 km/h
1.0L EcoBoost / 1.5L,"1,000 - 1,500 cc",200 km/h
2.5L Inline-4 Diesel,2488 cc,145 km/h
6.6L V8 engine,"6,600 cc",170 km/h
2.0L Inline-4,"2,000 cc",200 km/h
Electric Motor,-,130 km/h
I4,"1,798 cc",180 km/h
I3,"1,499 cc",211 km/h
3.6L V6 Gasoline,3600 cc,220 km/h
3.8L Twin-Turbo V6,3799 cc,330 km/h
2.0L Turbo Inline-4 Gasoline,2000 cc,240 km/h
2.5L Turbocharged,"2,500 cc",240 km/h
2.0L Turbocharged Flat-4,1988 cc,275 km/h
2.0L EcoBoost / 2.7L V6,"2,000 - 2,700 cc",200 km/h
1.5L EcoBoost / 2.0L EcoBoost,"1,500 - 2,000 cc",185 km/h
2.0L MIVEC,"2,000 cc",190 km/h
I4,"2,694 cc",180 km/h
V12,"5,204 cc",340 km/h
5.3L V8 Gasoline,5300 cc,180 km/h
1.8L Inline-4,1769 cc,180 km/h
1.5L Inline-4,"1,497 cc",160 km/h
I4,"1,991 cc",250 km/h
7.7L I6 Turbo Diesel,7700 cc,90 km/h
Dual Electric Motors,79.2 kWh,240 km/h
6.6L V8 Diesel,6600 cc,175 km/h
"4.0L,DIESEL","4,009 cc",120 km/h
V12,"6,496 cc",340 km/h
1.5L I4 Gas,1498 cc,190 km/h
2.7L Turbo Inline-4 Gasoline,2700 cc,260 km/h
5.6L V8,5552 cc,210 km/h
I4,"1,598 cc",195 km/h
2.0L 4-Cylinder,1999 cc,190 km/h
V8,"5,663 cc",220 km/h
1.4L MPFI Petrol,1396 cc,160 km/h
2.5L SkyActiv-G,"2,500 cc",210 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,210 km/h
Dual Electric Motors,93.4 kWh,250 km/h
1.0L Inline-2 (Wankel),"1,000 cc",170 km/h
5.7L V8 Gasoline,5700 cc,190 km/h
V6,"3,500 cc",190 km/h
I4,"1,498 cc",201 km/h
Diesel I4,"2,200 cc",160 km/h
3.6L V6 Gasoline,3600 cc,210 km/h
1.5L Inline-4,1497 cc,165 km/h
2.5L 4-Cylinder,"2,500 cc",190 km/h
3.5L Twin-Turbo V8,3495 cc,354 km/h
3.5L V6,3500 cc,220 km/h
1.5L Turbo Inline-4 Gasoline,1500 cc,200 km/h
2.5L Turbocharged Inline-4,"2,500 cc",215 km/h
V8,"5,663 cc",200 km/h
2.0L Inline-4,1998 cc,200 km/h
1.3L Inline-2 (Wankel),"1,308 cc",185 km/h
2.0L Turbo I4,1984 cc,250 km/h
V6,"3,500 cc",250 km/h
3.5L V6,3498 cc,210 km/h
1.5L Turbocharged I4 engine,"1,490 cc",200 km/h
1.8L I4 Gas,1781 cc,220 km/h
Dual-Motor Electric,212 kWh,170 km/h
V6,"2,995 cc",250 km/h
1.6L Turbocharged 4-Cylinder,1591 cc,210 km/h
1.8L MIVEC,"1,800 cc",190 km/h
V6,"2,996 cc",250 km/h
1.4L I4 Diesel / 1.6L Diesel,1390 cc / 1598 cc,190 km/h
3.0L Twin-Turbo V6 Hybrid,3000 cc,320 km/h
V12,"6,749 cc",250 km/h
Turbocharged Inline-4,"2,000 cc",190 km/h
2.0L Diesel / 2.2L Diesel,"2,000 - 2,200 cc",175 km/h
2.0L SkyActiv-G,"2,000 cc",180 km/h
1.6L 4-Cylinder,1591 cc,180 km/h
Electric Motor,16 kWh battery,100 km/h
